elevation, lat, lng
258.1,35.4699,-81.2616
279.8446350097656,35.4595,-81.31740000000001
277.9328918457031,35.4545,-81.3527
308.7226867675781,35.4357,-81.42319999999999
255.2486419677734,35.4179,-81.5586
325.4089660644531,35.4167,-81.6409
354.1777648925781,35.4376,-81.7283
320.9013977050781,35.3891,-81.8186
287.3081665039062,35.3026,-81.893
255.8026123046875,35.2987,-81.97029999999999
305.5279541015625,35.2572,-82.07299999999999
283.4542846679688,35.2072,-82.1549
295.9463500976562,35.2052508804101,-82.22680807113647
314.107177734375,35.219,-82.24720000000001
604.8969116210938,35.2479,-82.4067
670.0384521484375,35.267,-82.4915
644.9610595703125,35.24328834562257,-82.63158559799194
640.50439453125,35.2579,-82.6639
685.2303466796875,35.28048469942639,-82.75511741638184
1273.5185546875,35.3624,-82.7924
1376.854858398438,35.3733746083495,-82.790608406066